"newsgroup","id","post_txt"
"talk.politics.guns",53304,"Wow, the scope of the mission of the ATF continues to expand.  Besides Alcohol, Tobacco, and Firearms, they now seem to be involded in Child Protective Services, Drug Enforcement and Tax Evasion. They look to be on the road to being the nations *boys in blue*! No Knock in one hand, M-16 in the other.  Zeik-Heil!!! Lance"
"talk.politics.guns",53308,"	* The Government 	* Liberals 	* BATF, FBI, DEA, etc.  (see #1) 	Well... 		contributions == taxes 		abortion == elimination of fetal tissue 		Clinton == president 		faggot == spouse 	It could happen... 	Hydrogen Bomb, perhaps. 	Yep. 	Yep."
"talk.politics.guns",53309,"In a previous article, irvine@uxh.cso.uiuc.edu (Brent Irvine) says: No, Brent that would be alt.sex.bondage.holly.silva.goofy.anti.semite.... :)"
"talk.politics.guns",53310,"For those of you interested, I just finished talking with a  representative of Senator Bob Krueger's reelection campaign about his  position on the RTKBA.  Krueger was appointed by the  Democratic Governor  of Texas to complete Lloyd Bentsen's unexpired term. The representative said that Senator Krueger did not have a position and  would only comment on specific legislation that was pending.  No comment  was available on the various versions of the Brady Bill. Be warned and vote accordingly."
"talk.politics.guns",53311,"So where was she?  And would she consider staying there?"
"talk.politics.guns",53312,"Good question; I don't know what the law considers them. I believe this is what happens in some states."
"talk.politics.guns",53313,"By this, do you mean that you consider it absolutely impossible for the media to be guilty of hypocrisy? Note that the film industry in California traded their political support for an ""assault weapon"" ban in the state for an amendment to the bill exempting the entertainment industry from that very ban. Note that the very issue of the Batman comic book (""Seduction of the Gun"") that was produced as a tool for gun-control organizations carries a back- page ad for a ""Terminator II"" video game extolling the numerous and varied sophisticated weapons available to the player. Note that Arthur Ochs Sulzberger, publisher of the NY Times -- one of the oldest and most incessant gun-control grinders -- himself carries a concealed handgun. Still, you find it completely incredible that these folks live by the  aphorism, ""Do as I say, and not as I do."""
"talk.politics.guns",53314,"Of course, if you're a criminal, or hang around with criminals, or flash large wads of cash in the wilder parts of town, or utter verbal bigotry in the right public places, your chances of being shot are much higher. Avoiding these behaviors, on the other hand, decreases your chances of being shot. Something like 60% of all murders are criminals killing criminals.  Over 90% of murders are committed by people with a prior *known* history of violence. Simplistic moral, suitable for my three year old, and most inane posters:  ""Bad people do bad things - repeatedly."""
"talk.politics.guns",53315,"Richard Cower (cower@csli.stanford.edu) wrote: : I believe this raid was ill planned because they only had 2 days to plan it, : and it was continued when failure was obvious because it had a bit part : in the much larger political agenda of President Clinton. I would even  : suggest that the loss of 4 ATF agents is inconsequential in this the : context of his political agenda. It MIGHT even be beneficial to his agenda,  : as it helps point up just how evil these assualt weapons are. Further proof : might be that the ATF denied their agents (Street Stories report) requests : for sufficient fire power.  : Important dates:  : Feb 25th - NJ assembly votes to overturn assault weapon ban. : Feb 28th - Compound in Waco attacked.	    : On Feb. 25th the New Jersey assembly voted to overturn the assault weapon : ban in that state. It looked like it might be a tight vote, but the Senate : in N.J. was going to vote to overturn the ban. It would not sit well to have : an Eastern state overturn an assault weapon ban, given Clintons stated : agenda on gun control. I suspect Clinton gave the order to get someone or : some: group with assualt weapons and have the press present (they were : initially : at the incident in Waco) to record the event for the TV audience. The agent  : on ""Street Stories"" reported that a supervisor was urging them all to ""get  : ready fast"", as ""they know we are coming"". I believe this attack continued,  : even tho the probablility of failure was high,  because it came from the top  : down. After the N.J. assembly vote, the ATF had a limited amount of time to : come up with something, and the Wackos in Waco fit the bill nicely. : ...rich     I don't know Rich. Last year when the congress was debating the Bushmans 'Crime Bill', the incident at Lubys' cafe occured. Most of the anti-gun crap was amended out of the bill anyway.     Could a president 'order': go find some 'assault weapons' and bring the media"". I hope not.  Frankly, the Toon-meister* scares me. Of course  having a Democratic majority in congress doesn't help. (Apologies to all  Demos' who support RKBA) ( *definition: toon-meister - a characatureic name for the current  president of the U.S.:   Clinton aka, Clintoon aka Toon-meister.) Rob P."
"talk.politics.guns",53316,"It's a fair stretch of anyone's imagination to expect them to attach any credibility to anything written in Time magazine in the past twenty years, I'd imagine.  The Enquirer at least gets the names attached to the right body parts. =Mark"
"talk.politics.guns",53317,"I have a few questions I'd like to ask; First,How would someone(me)be able to get a dealers license     and second,besides dear old departed gramp's,where would I find a good place to learn gunsmithing. 		all replies appreciated! 			John"
"talk.politics.guns",53318,"I don't think such a Canada is any more ""culturally similar"" to the United States than England. In terms of laws regarding individual rights, restrictions on police searches, etc... (all closely related to crime) Canadian laws parallel England's and differ greatly from those of the United States. Actually, they do not have ""roughly the same... urban economy"",  and extremely different ethnic composition. However, if you account for economic and ethnic differences, the difference disappears completely: Seattle's minorities are predominatly poor, while Vancouver's are middle or upper class. The rates for whites in both cities were found to be identicle, while the rate for poor, Seattle minorities was almost three times as great as for the well-to-do minorities of Vancouver. The pattern seems to be one of poverty and race relations, not one of gun control. That is a gross distortion: ""Self-defense"" does not mean killing the attacker. There were 21 cases of civilians killing their  attacker in self-defence. But such cases represent less that 0.5% of the crimes prevented by armed self-defence; for every case you cite, there were over 200 other cases of self-defence where the crime was prevented but the attacker was not killed. (0.5%, by the way, is the most conservative possible figure, based on the National Crime Survey's estimate of 80,000 crimes prevented by armed self-defence each year. Most other  studies on the subject put the figure at 500,000 to 600,000. Those figures would imply less than 0.08% of sucessful self-defences involve killing the attacker.)  So, more correctly, there over 4000 (possibly as many as 25,000)  cases of civilians acting in self-defence, only 21 of which resulted in the death of the attacker. This is a significant factor, in comparison to the 592 homicides. If memory serves, homicides make up approximately 1% of the violent crimes the study considered, so the fair comparison would be 40 - 250 homicides prevented and 592 homicides. Clearly, the study can not be close to accurate, since it ignored these cases of self-defence.                                                 Frank Crary                                                 CU Boulder"
"talk.politics.guns",53320,"     It's not the NRA's fault; but it is something to consider if you are considering contributing to the NRA. If candidate B is a complete asshole whose only saving grace is that he opposes unnecessary restrictions on firearms, I wouldn't want my membership dues funding efforts to get him re-elected.      I have other problems with the NRA (as an organization; the individual members I've met have been loyal, trustworthy, honest, brave, etc., especially my boss who probably reads this newsgroup B->); they are definitely pro-hunting, and I recall seeing a pro-Desert Storm NRA bumper sticker. Sometimes they come on too strong in the political arena, which contributes to their reputation as ""bad guys"" amoung many people. Tom Swiss/tms@cs.umd.edu  |  ""Born to die""   |   Keep your laws off my brain!      ""What's so funny 'bout peace, love and understanding?"" - Nick Lowe       This .sig contains no animal products and was not tested on animals. ""I would feel more optimistic about a bright future for man if he spent  less time proving that he can outwit Nature and more time tasting her  sweetness and respecting her seniority."" -- E.B. White"
"talk.politics.guns",53321,"Yes, I am pro-gun, and yes, I do disagree with this statement. Nuclear weapons in and of themselves are dangerous.  Radioactive decay of plutonium and uranium, as well as the tritium in the weapon, tends to be somewhat dangerous to living things. (Can you say ""neutron flux""?)  Plus these things have no self- defense purposes.  It's kinda hard to justify their use as a militia weapon when at best they are meant for battlefield use (low-yield weapons) or at worst for industrial target obliteration (translation:  cities and population centers).  Not to mention that for it to be used as a militia weapon and expect the user to live requires some sort of launch vehicle . . . aaron arc@cco.caltech.edu"
"talk.politics.guns",53322,"No. The issue is reducing crime, not guns. If gun control doesn't lower crime overall, then is doesn't address the issue. Does that matter if assaults with a baseball bat become much more common? Muggers using a gun rely primarily on the threat of the gun, and rarely shoot their victim. A mugger using a knife is much more likely to start by stabbing his victim  in an effort incapacitate him. So, while a knif may not be as deadly as a gun, criminals are more likely to actually _use_ the knife (as opposed to threatening the victim with it.) It isn't at all clear that replacing the criminal's gun with a knife would reduce murders. Stabbings might just become more common. That's why it is important to look at the overall (not the with-gun) homicide rate. It avoids the issue of substitution, different criminal techinques of using different weapons, etc... and measures what we want to prevent: Murders. ""Face""? Possibly. However, facing knife-welding attackers isn't too common: Stabbing without warning and by supprise is the usual tactic. Very few criminals shoot from cover: It attracts to much attention and they don't have a chance to go through your pockets. Overall, I'd much rather be threatened with a gun than actually stabbed with a knife. Actually, the exact same statement is true of guns: Training in unarmed self-defence will let you disarm an untrained gunman  without much problem. You also ignore the criminal's reaction: The National Crime Survey clearly shows that criminals (unarmed, armed with a knife, gun or whatever) are unwilling to risk their lives in a confrontation. If faced with a serious threat, almost all prefer to leave and find an easier target. Therefore, using (or threatening to use, as is much more commonly the case) a weapon _is_ the best defence against an attacker, regardless of how he is armed. Knives, however, are much less effective than guns: Criminals don't consider knifes as a ""serious threat"" nearly as often as they do guns.                                               Frank Crary                                               CU Boulder"
"talk.politics.guns",53323,"I don't think anyone is arguing that there would be no effect. But there would be no _net_ _positive_ effect. You also have to  consider the negative side: Law abiding citizens, armed with  fireamrs (pistols for the most part), prevent between 80,000 (National Crime Survey) and 1,000,000 (Dr. Kleck) crimes each year. (Those are the extremes. Most studies find the number to be 500,000 to 600,000.) About 1% of those crimes are homicides, so private ownership of firearms _saves_ approximately 5,000 lives each year. There are roughly 12,000 criminal homicides and fatal accidents involving guns each year. For there to  be any net benefit, you would have to show that gun control measures would disarm over 40% of the criminals currently using guns. That would be very hard to do: According the the federal BATF, only 8% of criminals buy their guns over the counter. Since gun control laws, by their very nature, only effect legal sales, such a law would remove all the benefits of armed, law-abiding citizens while having only a minimal effect on armed criminals (who, by and large, get their guns illegally.)  That doesn't sound like a net benefit to me. Since most were with licensed weapons, I assume you are not supporting ""reasonable"" laws (i.e. waiting periods, background checks, licenses, etc...). Since only a complete ban would  alter the statistic you refer to, I assume that's what you are supporting. By the way, 1135 people dies in 1986 from falling down stairs. 250 accidental handgun deaths isn't significant next to  other household accidents. 1080 children under the age of 10 died by drowning, 69 from  drinking poisonous household chemicals (like Drano), 139 from falls. If the real goal is to reduce the tragic, accidental deaths of children, wouldn't a ban on drain cleaners be a  better palce to start? (Or, perhaps, restricting ownership to professionals like plumbers?) While you might call it ""emphasis"", refering to completely two statistics in the same sentence _implies_ a comparison. If it isn't valid, and you put the numbers together to convince people you are right, the kindest thing I could call it is propaganda.                                                       Frank Crary                                                       CU Boulder"
"talk.politics.guns",53324,"Because there are about 40 homicides total (i.e. using guns, knives, tire-irons, baseball bats, bare hands, etc...) in Switzerland each year and 850 homicides, total, in England. That's three times worse per capita in England than in Switzerland. Since dead is dead, it really doesn't matter that 60% of the Switz murders involved a gun or that only 0.9% of the English murderers do.                                              Frank Crary                                             CU Boulder    "
"talk.politics.guns",53325,"They do. According the the Los Angeles Police Department, illegal manufacture is one the three primary sources of machine guns and submachine guns used in crimes (sumggling and theft from the police and military being the other two.) Washington D.C. police have stated that 40% (If I'm remembering the figure correctly) of the guns they conficate were illegally built. It takes about 6 hours and a few tools to make one (at least one of reasonable quality). Unless the drug dealer enjoyes messing around on a lathe (say, as a hobby), he's going to have to  pay someone anyway. Materials plus six hours of a machinist's time for something legal would run about $100. The blackmarket prices for guns are usually in the $50 to $200 range (at least those few I've seen cited in newspaper articles were...) Washington D.C. has a total ban on handguns and prohibits assembled rifles within city limits. It's homicide rate is almost ten times the national average. It is also illegal for a D.C. resident to drive to the Virginia or Maryland suburbs and buy a gun (dealers are required by federal law to check IDs and make sure the buyer isn't from another state) so the ban  can not be easily side-stepped. Sure. But it you couldn't buy one, you would write your own (in fact, people _did_ write their own 15 years ago...) More likely, you would find a friend who was a particularly good programer and get him give you a copy of his. Software is a _very_ bad example for your case: How many people do you know with illegal copies of $400 word processors? If people want something, and it isn't available (or affordable) legally, they will usually get it illegally. Quite. 13-3-2. The formula has been around for half a million years. Or are you going to restrict sales of sulpher, charcoal and saltpeter? That's alot cruder than modern smokless powder, but it works very well. The only real problems are a ~25% reduction in energy (so a .357 magnum would ""only"" be as deadly as a 9mm) and it makes alot more smoke... Of course, a smart black marketeer could just make the gun in 9mm and steal the ammunition from the police (the police are often corruptable, and things are known to disappear from police evidence rooms and armories and reappear on the streets...) Perhaps you weren't watching the news two years ago, but the Serbs  also tried to invade Slovinia. They were driven out after a few weeks by partisans armed with home-made _anti-tank_ weapons. The Afghan rebels frequently made their own rifles.                                                  Frank Crary                                                 CU Boulder"
"talk.politics.guns",53326,"On a Los Angeles radio station last weekend, the lawyers for the family of the MURDERED rancher said that the Los Angeles Sheriff's Department had an assessment done of the rancher's property before the raid. This strongly implies that the sheriff's department wanted the property; any drugs (which were not found) were only an excuse. In Viet Nam, Lt Calley was tried and convicted of murder because his troops, in a war setting, deliberately killed innocent people. It is time that the domestic law enforcement agencies in this country adhere to standards at least as moral as the military's. Greed killed the rancher, possibly greed killed the Davidian children. Government greed. It is time to prosecute the leaders who perform these invasions. Fred Franceschi   (These are my own opinions!)"
"talk.politics.guns",53327,"J. Spencer (J.M.Spencer@newcastle.ac.uk) wrote: : [snip] : If you examine the figures, they do. Stabbing is favourite, closely : followed by striking, punching, kicking. Many more people are burnt to : death in Britain as are shot to death. Take at look and you'll see for : yourself.  It means that very few people are shot to death in Great Britain."
"talk.politics.guns",53328,"Jim De Arras (jmd@cube.handheld.com) wrote: : In article <C4u3x5.Fw7@magpie.linknet.com> manes@magpie.linknet.com (Steve   : You're a great debater.  You chose your sources of information, claim them : to  be superior, I've made no such claim.  Please direct my attention towards any posting of mine where I claimed superior sources of information. It's probably because I bothered to post any references at all while others seem content to post numbers pulled from the ozone, that you've confused it with fact-twisting.  If so, I apologize.   : then take those twisted numbers and twist them further by trying   Well then, here's fair opportunity for you to prove that I've ""twisted numbers.""  On what grounds do you contradict those references?  Do you have any citations... any sources of your own that I can take similar gratuitous shots at? : to compare absolute numbers between two countries that have major population   : differences, the USA and GB, and then whine that you are afraid someone might   : attack your process, and so claim the numbers are for ""emphasis, not   : comparison""?  Emphasis of what? Nitpicking and scolding is a whiney debating style, Jim. : Anything else is blowing smoke. You seddit, brudda."
"talk.politics.guns",53329,"Two questions: 1)  You asserted that both the AR-15 and AK-47 are not suitable for    ""real hunting"".  If you have no problem with hunting, or using    self loading rifles for hunting, why did you say this?  If not    for deer, then what about other, smaller game? 2)  When did I get the nickname ""NRA man""?  Notice I have never referred    to you as ""Janette"" which you don't seem to like.  Do I get any    super-powers, like Spider Man or Powdered Toast Man? Scott Kennedy    Brewer, Patriot, and now NRA-Man, defender of Truth,                  Justice, and the 2nd Amendment. kennejs@a.cs.okstate.edu"
"talk.politics.guns",53330,"The briefing documents for the raid had a notation on them about a similar local property which had sold for $800,000 prior to the raid, if recent TV coverage can be believed. The Ventura County DA came to the same conclusion in the report he released, which lambasted the Sheriff's Office. Too bad the old man was nearly blind, and didn't take a few goose-stepping Drug Warriors (TM) with him."
"talk.politics.guns",53331,"I don't know for sure if Winchester made any commemeratives.  If I recall correctly, the rifle itself was a .44-40 Model 92 with an oversized loop lever.  I don't think Winchester makes this rifle any more.  Rossi make a Model 92 look-alike in .38 Special and .357 Magnum. aaron arc@cco.caltech.edu"
"talk.politics.guns",53332,"As I recall, in the 60's the Kennedy Administration had sub-kiloton nuclear weapons withdrawn from Europe and destroyed.  They were man- portable and made for use in shoulder-mount rocket launchers.  The smallest nuclear test I've seen data for was a .1 (yes, one-tenth) kiloton weapon tested either in the late 40's or early 50's. aaron arc@cco.caltech.edu"
"talk.politics.guns",53333,"time No, Lt Calley was later acquitted. His troops killed 400-500 people, including kids, elderly and women... I sure don't want to see the domestic law enforcement agencies in this country adhere to those ""military standards""... If they did, we're all in big trouble...(The My Lai massacre was covered up by high-ranking officials and ALL who were involved were ACQUITTED).   == Minh ==  Minh Lang, Software Engineer  - Jet Propulsion Laboratory  Instrumentation Systems Group - Instrumentation section 375  Note:  My employer has nothing to do with what I said here..."
"talk.politics.guns",53334,"I knew that Cutie would sell us out.  Full-blooded Democrat, he is :-) Seriously folks, if it can happen here (remember?  we all got gun racks on our 4x4s), it can happen anywhere.  Now to get that letter ready.  `Dear  Cutie, as one who didn't vote for you, I can sincerely say I am unhappy...' Those who know what's best for us Must try to save us from ourselves"
"talk.politics.guns",53335,"I was under the impression that to obtain fissionable materials (i.e., plutonium or reactor/weapons-grade uranium) one was required to obtain a federal permit to own such materials. Actually, why bother looking it up?  From the material we covered last term (in 10 weeks) of Ge/Ch 127 (Nuclear Chemistry), I could *derive* what it would take to build a bomb.  And as far as the explosive charge, I (as a chemist) could synthesize a variety of explosives from commonly available chemicals in the garage if I felt like.  The electronics  behind the detonator and the shaped charges are a little trickier, however . . . but not impossible using a few ""tricks of the trade."" And if I really wanted to be nasty, I could include a core of  hydrogen and deuterium . . . Of course, the hardest part is getting the fissionable material to start with, and living long enough to put a bomb together.  (Plutonium has some *nasty* properties . . .) aaron arc@cco.caltech.edu"
"talk.politics.guns",53336,"[other uninformed, purposefully ignorant gun control ranting deleted] I want this man to tell me how in the hell you can take the  explosives used in the WTC bombing, considering that the  consensus seems to be that the explosive was a fertilizer-based one.  Ammonium nitrate, to be exact . . . of which about 90,000 tons disappears per year (if I recall the stat correctly; I don't have it here.)  Just one more disregarding of reality to push a point. [more bunk deleted] aaron arc@cco.caltech.edu"
"talk.politics.guns",53337,"I do not think it is at all unlikely that Clinton ro his policy wonk facilitators arranged the Waco raid as a display piece for  the Gun War on the Constitution.  Look at what the Bush administration did to get material for the Drug War on the Constitution--remember that baggie of crack George waved at the cameras?  They took a dealer from the ghetto and brought him to the White House so they could say drugs had been dealt onb the White House Lawn. And I don't think anybody could honestly think Clinton would have any moral qualms about the raid... The only really worrisome thing is that the BD's heroic defense of their ranch will make Clinton's Gun War on the Constitution _more_ successfull--exactly as he wanted.  The media and politicians will filter this so that the general public will think the BD's are bad guys!  Don't help them.  Stand up for the BD's with your friends and family adnd in public anytime you can--their supposed moral qualms are not important to the issue.  They are heroes in the fight against oppressive government;  it could just as well have been you."
"talk.politics.guns",53338,"Does anyone really believe the Swiss have had no war within their borders because every adult male owns a rifle? I'm a great admirer of the Swiss, but 500 years of peace on their turf has zilch to do with gun ownership. Can you picture Hitler, with Panzers and Focke-Wulfs poised on the border, losing sleep over a few thousand expert rifleman? Sure.  Hitler stayed out of Switzerland because the Swiss run the money in this world. We'd do well to emulate them on that and forget about getting more rifles on the street. Let's disband the NRA and start a National Investment Banking Association, replete with red and black sticker for the back window of Bubba's Mercedes 600! We could fire Charlton Heston and get Paul Volcker for a spokesman."
